MMM
AOS
ABT
ABBV
ACN
ADBE
AMD
AES
AFL
A
APD
AKAM
ALB
ARE
ALGN
ALLE
LNT
ALL
GOOGL
GOOG
MO
AMZN
AEE
AAL
AEP
AXP
AIG
AMT
AWK
AMP
AME
AMGN
APH
ADI
ANSS
AON
APA
AAPL
AMAT
APTV
ADM
ANET
AJG
AIZ
T
ATO
ADSK
ADP
AZO
AVB
AVY
BKR
BALL
BAC
BK
BBWI
BAX
BDX
BBY
BIIB
BLK
BA
BKNG
BWA
BXP
BSX
BMY
AVGO
BR
CDNS
CPB
COF
CAH
KMX
CCL
CAT
CBOE
CBRE
CE
COR
CNC
CNP
CF
CHRW
SCHW
CHTR
CVX
CMG
CB
CHD
CI
CINF
CTAS
CSCO
C
CFG
CLX
CME
CMS
KO
CTSH
CL
CMCSA
CMA
CAG
COP
ED
STZ
COO
CPRT
GLW
CPAY
COST
CTRA
CCI
CSX
CMI
CVS
DHR
DRI
DVA
DE
DAL
DVN
FANG
DLR
DFS
DG
DLTR
D
DOV
DOW
DHI
DTE
DUK
DD
EMN
ETN
EBAY
ECL
EIX
EW
EA
ELV
LLY
EMR
ETR
EOG
EFX
EQIX
EQR
ESS
EL
EG
EVRG
ES
EXC
EXPE
EXPD
EXR
XOM
FFIV
FAST
FRT
FDX
FIS
FITB
FE
FI
FMC
F
FTNT
FTV
FOXA
FOX
BEN
FCX
GRMN
IT
GE
GEN
GD
GIS
GM
GPC
GILD
GPN
GL
GS
HAL
HIG
HAS
HCA
DOC
HSIC
HSY
HES
HPE
HLT
HOLX
HD
HON
HRL
HST
HWM
HPQ
HUM
HBAN
HII
IBM
IDXX
ITW
ILMN
INCY
INTC
ICE
IFF
IP
IPG
INTU
ISRG
IVZ
IQV
IRM
JBHT
JKHY
J
JNJ
JCI
JPM
JNPR
K
KEY
KEYS
KMB
KIM
KMI
KLAC
KHC
KR
LHX
LH
LRCX
LW
LEN
LIN
LKQ
LMT
L
LOW
LYB
MTB
MRO
MPC
MAR
MMC
MLM
MAS
MA
MKC
MCD
MCK
MDT
MRK
META
MET
MTD
MGM
MCHP
MU
MSFT
MAA
MHK
TAP
MDLZ
MNST
MCO
MS
MOS
MSI
MSCI
NDAQ
NTAP
NFLX
NEM
NWSA
NWS
NEE
NKE
NI
NSC
NTRS
NOC
NCLH
NRG
NUE
NVDA
ORLY
OXY
OMC
OKE
ORCL
PCAR
PKG
PARA
PH
PAYX
PYPL
PNR
PEP
PFE
PM
PSX
PNW
PNC
PPG
PPL
PFG
PG
PGR
PLD
PRU
PEG
PSA
PHM
QRVO
PWR
QCOM
DGX
RL
RJF
RTX
O
REG
REGN
RF
RSG
RMD
RVTY
RHI
ROK
ROL
ROP
ROST
RCL
SPGI
CRM
SBAC
SLB
STX
SRE
SHW
SPG
SWKS
SJM
SNA
SO
LUV
SWK
SBUX
STT
SYK
SYF
SNPS
SYY
TTWO
TPR
TGT
TEL
TFX
TXN
TXT
TMO
TJX
TSCO
TT
TDG
TRV
TFC
TSN
USB
UDR
ULTA
UNP
UAL
UPS
URI
UNH
UHS
VLO
VTR
VRSN
VRSK
VZ
VRTX
VTRS
V
VMC
GWW
WAB
WBA
WMT
DIS
WM
WAT
WEC
WFC
WELL
WDC
WRK
WY
WMB
WTW
WYNN
XEL
XYL
YUM
ZBH
ZTS
